epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1126.49,0.81593,0.39156,0.78675,0.91311,0.75629,0.81328,0.57037,0.75763,0.38635,0.78627,0.000742625,0.000742625,0.000742625
43,1156.24,0.82121,0.39048,0.78329,0.87263,0.74293,0.80174,0.55402,0.77757,0.39344,0.78799,0.00073025,0.00073025,0.00073025
44,1181.71,0.81232,0.38253,0.78496,0.85169,0.75549,0.80478,0.56922,0.77571,0.39717,0.78805,0.000717875,0.000717875,0.000717875
45,1207.2,0.79927,0.38045,0.78241,0.89676,0.74722,0.82184,0.57219,0.77528,0.39534,0.78682,0.0007055,0.0007055,0.0007055
46,1236.82,0.76959,0.36825,0.78249,0.86928,0.72839,0.81736,0.53976,0.81163,0.41005,0.78831,0.000693125,0.000693125,0.000693125
47,1262.3,0.78364,0.37638,0.78278,0.86062,0.76072,0.82754,0.57419,0.816,0.40933,0.78925,0.00068075,0.00068075,0.00068075
48,1291.83,0.77221,0.36938,0.78246,0.9263,0.7463,0.82281,0.58082,0.78952,0.3924,0.78743,0.000668375,0.000668375,0.000668375
49,1321.32,0.7687,0.36591,0.78298,0.8924,0.78154,0.81629,0.57363,0.77611,0.38239,0.78676,0.000656,0.000656,0.000656
50,1346.78,0.75439,0.3581,0.78103,0.89467,0.76962,0.81199,0.56943,0.74264,0.37539,0.78612,0.000643625,0.000643625,0.000643625
51,1372.26,0.77295,0.36327,0.78241,0.87921,0.76745,0.82735,0.58083,0.80514,0.42198,0.78948,0.00063125,0.00063125,0.00063125
52,1401.98,0.77084,0.363,0.78254,0.8821,0.76277,0.8008,0.58075,0.7652,0.40543,0.7886,0.000618875,0.000618875,0.000618875
53,1427.45,0.76812,0.36385,0.78137,0.87634,0.76392,0.80309,0.56722,0.78477,0.4049,0.78962,0.0006065,0.0006065,0.0006065
54,1452.91,0.77061,0.36926,0.78164,0.88001,0.71834,0.80798,0.58249,0.79229,0.40904,0.78908,0.000594125,0.000594125,0.000594125
55,1478.41,0.74534,0.35516,0.78015,0.91472,0.68102,0.80019,0.55675,0.77167,0.40321,0.78822,0.00058175,0.00058175,0.00058175
56,1503.87,0.75652,0.35749,0.7828,0.92856,0.73933,0.8042,0.5674,0.74135,0.38434,0.78534,0.000569375,0.000569375,0.000569375
57,1529.34,0.73795,0.34846,0.77855,0.92163,0.74197,0.808,0.58242,0.77035,0.38586,0.78704,0.000557,0.000557,0.000557
58,1554.81,0.74957,0.35844,0.78028,0.84428,0.77473,0.80345,0.57285,0.77768,0.38376,0.78911,0.000544625,0.000544625,0.000544625
59,1580.29,0.72906,0.35196,0.77958,0.85472,0.71843,0.80796,0.55175,0.79284,0.41,0.78929,0.00053225,0.00053225,0.00053225
60,1605.91,0.73426,0.3475,0.77851,0.90493,0.71432,0.81211,0.56778,0.79602,0.39015,0.79007,0.000519875,0.000519875,0.000519875
61,1631.39,0.74705,0.35254,0.77732,0.88795,0.76566,0.82184,0.5704,0.81074,0.3969,0.79016,0.0005075,0.0005075,0.0005075
62,1656.87,0.74643,0.34826,0.77978,0.93546,0.72649,0.81634,0.58442,0.78726,0.38902,0.789,0.000495125,0.000495125,0.000495125
63,1686.44,0.7106,0.33685,0.77829,0.9154,0.75297,0.83203,0.58773,0.74887,0.37622,0.78568,0.00048275,0.00048275,0.00048275
64,1715.97,0.70931,0.33719,0.77746,0.85123,0.74525,0.79812,0.57359,0.75716,0.3844,0.78624,0.000470375,0.000470375,0.000470375
65,1741.44,0.71951,0.34032,0.7795,0.86587,0.75921,0.81881,0.58281,0.74482,0.39334,0.7861,0.000458,0.000458,0.000458
66,1766.91,0.74136,0.34608,0.7787,0.86015,0.75439,0.81638,0.57945,0.7651,0.38215,0.78784,0.000445625,0.000445625,0.000445625
67,1792.39,0.70037,0.33244,0.78016,0.88014,0.73163,0.8149,0.57285,0.73223,0.37129,0.78501,0.00043325,0.00043325,0.00043325
68,1817.85,0.69265,0.32885,0.77748,0.88132,0.75355,0.82987,0.57931,0.73619,0.3721,0.78511,0.000420875,0.000420875,0.000420875
69,1843.33,0.69164,0.33222,0.77796,0.89486,0.78414,0.82907,0.5895,0.76301,0.38371,0.7854,0.0004085,0.0004085,0.0004085
70,1872.89,0.72668,0.33904,0.77974,0.84585,0.75583,0.80503,0.57174,0.77118,0.37395,0.78792,0.000396125,0.000396125,0.000396125
71,1898.41,0.70212,0.33088,0.77629,0.89945,0.73967,0.82796,0.57637,0.74951,0.37862,0.78529,0.00038375,0.00038375,0.00038375
72,1923.88,0.69439,0.32682,0.77579,0.898,0.7469,0.81064,0.56941,0.7643,0.37369,0.78695,0.000371375,0.000371375,0.000371375
73,1949.36,0.69264,0.32242,0.77699,0.95111,0.74291,0.8292,0.58656,0.72948,0.36354,0.785,0.000359,0.000359,0.000359
74,1974.83,0.68588,0.32072,0.77786,0.89884,0.74838,0.82032,0.58967,0.73094,0.36026,0.78591,0.000346625,0.000346625,0.000346625
75,2000.36,0.66602,0.31616,0.77655,0.91175,0.72466,0.81251,0.5829,0.74037,0.37256,0.78476,0.00033425,0.00033425,0.00033425
76,2025.81,0.66615,0.31884,0.7763,0.96482,0.70467,0.80797,0.58513,0.73887,0.3717,0.78486,0.000321875,0.000321875,0.000321875
77,2051.28,0.67282,0.3183,0.77673,0.8988,0.73335,0.81494,0.59324,0.74279,0.36178,0.78627,0.0003095,0.0003095,0.0003095
78,2080.82,0.67318,0.31855,0.77646,0.93972,0.74388,0.8312,0.59329,0.73385,0.36754,0.78485,0.000297125,0.000297125,0.000297125
79,2110.41,0.6763,0.31902,0.77492,0.8926,0.7333,0.83116,0.58709,0.76682,0.37835,0.78705,0.00028475,0.00028475,0.00028475
80,2135.85,0.66589,0.31493,0.77531,0.95857,0.69788,0.81485,0.58618,0.73423,0.36545,0.78505,0.000272375,0.000272375,0.000272375
81,2161.32,0.64167,0.30688,0.77568,0.946,0.72407,0.81914,0.58688,0.73451,0.35788,0.78594,0.00026,0.00026,0.00026
82,2186.8,0.64348,0.30633,0.77451,0.93255,0.7479,0.83633,0.59457,0.74695,0.36333,0.78659,0.000247625,0.000247625,0.000247625
83,2216.56,0.64587,0.30663,0.77595,0.90734,0.7513,0.82744,0.59264,0.72106,0.35706,0.7864,0.00023525,0.00023525,0.00023525
84,2242.01,0.64894,0.30567,0.7741,0.89821,0.74246,0.82515,0.58508,0.77589,0.36911,0.78704,0.000222875,0.000222875,0.000222875
85,2267.48,0.64742,0.30609,0.77224,0.95695,0.73513,0.82959,0.59167,0.72104,0.36111,0.78501,0.0002105,0.0002105,0.0002105
86,2292.94,0.6317,0.29913,0.7748,0.94805,0.73506,0.84243,0.59834,0.73352,0.36212,0.78535,0.000198125,0.000198125,0.000198125
87,2322.52,0.62484,0.29674,0.77311,0.94669,0.74052,0.82885,0.60121,0.71655,0.35135,0.78437,0.00018575,0.00018575,0.00018575
88,2352.18,0.63704,0.29959,0.77345,0.9218,0.75138,0.84072,0.5944,0.72293,0.3602,0.78519,0.000173375,0.000173375,0.000173375
89,2377.74,0.61922,0.29467,0.77313,0.93737,0.76226,0.83401,0.58911,0.71396,0.35461,0.78507,0.000161,0.000161,0.000161
90,2403.22,0.61718,0.29233,0.77448,0.89665,0.73486,0.81928,0.5808,0.73159,0.35587,0.78548,0.000148625,0.000148625,0.000148625
91,2429.3,0.59545,0.29272,0.77252,0.93508,0.75948,0.82698,0.59177,0.73565,0.36548,0.78415,0.00013625,0.00013625,0.00013625
92,2454.61,0.58058,0.28698,0.77311,0.94664,0.72556,0.82253,0.58636,0.74964,0.37133,0.78628,0.000123875,0.000123875,0.000123875
93,2479.84,0.58894,0.28564,0.7744,0.89206,0.7227,0.81928,0.5892,0.73843,0.37011,0.78507,0.0001115,0.0001115,0.0001115
94,2505.09,0.56082,0.27746,0.77274,0.90644,0.7397,0.81713,0.58519,0.74718,0.36794,0.7868,9.9125e-05,9.9125e-05,9.9125e-05
95,2530.36,0.56314,0.27941,0.77029,0.90288,0.74182,0.82035,0.57808,0.73034,0.3566,0.78529,8.675e-05,8.675e-05,8.675e-05
96,2555.59,0.55887,0.27697,0.77221,0.91585,0.75487,0.83372,0.58145,0.75475,0.36999,0.78667,7.4375e-05,7.4375e-05,7.4375e-05
97,2580.85,0.5461,0.27358,0.77045,0.9053,0.74945,0.8195,0.59124,0.73327,0.36427,0.78565,6.2e-05,6.2e-05,6.2e-05
98,2606.13,0.53538,0.26671,0.77212,0.93176,0.74909,0.8267,0.59387,0.73434,0.3611,0.78603,4.9625e-05,4.9625e-05,4.9625e-05
99,2631.41,0.55908,0.27317,0.77071,0.94722,0.7608,0.83407,0.59617,0.72761,0.36062,0.7858,3.725e-05,3.725e-05,3.725e-05
100,2656.66,0.54166,0.26791,0.76998,0.93826,0.74979,0.83143,0.58991,0.72592,0.35778,0.78568,2.4875e-05,2.4875e-05,2.4875e-05
